fecha,hora,consumo,met_obtencion,datetime
2022-04-16,5,0.052,Real,2022-04-16 05:00:00
2022-04-16,6,0.049,Real,2022-04-16 06:00:00
2022-04-16,7,0.068,Real,2022-04-16 07:00:00
2022-04-16,8,0.048,Real,2022-04-16 08:00:00
2022-04-16,9,0.124,Real,2022-04-16 09:00:00
2022-04-16,10,0.23,Real,2022-04-16 10:00:00
2022-04-16,11,0.175,Real,2022-04-16 11:00:00
2022-04-16,12,0.867,Real,2022-04-16 12:00:00
2022-04-16,13,0.728,Real,2022-04-16 13:00:00
2022-04-16,14,1.075,Real,2022-04-16 14:00:00
2022-04-16,15,0.135,Real,2022-04-16 15:00:00
2022-04-16,16,0.231,Real,2022-04-16 16:00:00
2022-04-16,17,0.198,Real,2022-04-16 17:00:00
2022-04-16,18,0.279,Real,2022-04-16 18:00:00
2022-04-16,19,0.407,Real,2022-04-16 19:00:00
2022-04-16,20,0.673,Real,2022-04-16 20:00:00
2022-04-16,21,0.319,Real,2022-04-16 21:00:00
2022-04-16,22,0.189,Real,2022-04-16 22:00:00
2022-04-16,23,0.191,Real,2022-04-16 23:00:00
2022-04-16,24,0.229,Real,2022-04-17 00:00:00
2022-04-17,1,0.182,Real,2022-04-17 01:00:00
2022-04-17,2,0.08,Real,2022-04-17 02:00:00
2022-04-17,3,0.055,Real,2022-04-17 03:00:00
2022-04-17,4,0.053,Real,2022-04-17 04:00:00
2022-04-17,5,0.051,Real,2022-04-17 05:00:00
2022-04-17,6,0.059,Real,2022-04-17 06:00:00
2022-04-17,7,0.044,Real,2022-04-17 07:00:00
2022-04-17,8,0.048,Real,2022-04-17 08:00:00
2022-04-17,9,0.087,Real,2022-04-17 09:00:00
2022-04-17,10,1.274,Real,2022-04-17 10:00:00
2022-04-17,11,0.323,Real,2022-04-17 11:00:00
2022-04-17,12,0.133,Real,2022-04-17 12:00:00
2022-04-17,13,0.061,Real,2022-04-17 13:00:00
2022-04-17,14,0.053,Real,2022-04-17 14:00:00
2022-04-17,15,0.052,Real,2022-04-17 15:00:00
2022-04-17,16,0.05,Real,2022-04-17 16:00:00
2022-04-17,17,0.05,Real,2022-04-17 17:00:00
2022-04-17,18,0.048,Real,2022-04-17 18:00:00
2022-04-17,19,0.049,Real,2022-04-17 19:00:00
2022-04-17,20,0.052,Real,2022-04-17 20:00:00
2022-04-17,21,0.047,Real,2022-04-17 21:00:00
2022-04-17,22,0.047,Real,2022-04-17 22:00:00
2022-04-17,23,0.085,Real,2022-04-17 23:00:00
2022-04-17,24,0.14,Real,2022-04-18 00:00:00
2022-04-18,1,0.076,Real,2022-04-18 01:00:00
2022-04-18,2,0.138,Real,2022-04-18 02:00:00
2022-04-18,3,0.087,Real,2022-04-18 03:00:00
2022-04-18,4,0.06,Real,2022-04-18 04:00:00
2022-04-18,5,0.064,Real,2022-04-18 05:00:00
2022-04-18,6,0.053,Real,2022-04-18 06:00:00
2022-04-18,7,0.052,Real,2022-04-18 07:00:00
2022-04-18,8,0.076,Real,2022-04-18 08:00:00
2022-04-18,9,0.209,Real,2022-04-18 09:00:00
2022-04-18,10,0.218,Real,2022-04-18 10:00:00
2022-04-18,11,0.135,Real,2022-04-18 11:00:00
2022-04-18,12,0.112,Real,2022-04-18 12:00:00
2022-04-18,13,0.388,Real,2022-04-18 13:00:00
2022-04-18,14,0.109,Real,2022-04-18 14:00:00
2022-04-18,15,0.101,Real,2022-04-18 15:00:00
2022-04-18,16,0.155,Real,2022-04-18 16:00:00
2022-04-18,17,0.298,Real,2022-04-18 17:00:00
2022-04-18,18,0.313,Real,2022-04-18 18:00:00
2022-04-18,19,0.096,Real,2022-04-18 19:00:00
2022-04-18,20,0.069,Real,2022-04-18 20:00:00
2022-04-18,21,0.292,Real,2022-04-18 21:00:00
2022-04-18,22,0.55,Real,2022-04-18 22:00:00
2022-04-18,23,0.119,Real,2022-04-18 23:00:00
2022-04-18,24,0.065,Real,2022-04-19 00:00:00
2022-04-19,1,0.051,Real,2022-04-19 01:00:00
2022-04-19,2,0.047,Real,2022-04-19 02:00:00
2022-04-19,3,0.042,Real,2022-04-19 03:00:00
2022-04-19,4,0.047,Real,2022-04-19 04:00:00
2022-04-19,5,0.044,Real,2022-04-19 05:00:00
2022-04-19,6,0.043,Real,2022-04-19 06:00:00
2022-04-19,7,0.04,Real,2022-04-19 07:00:00
2022-04-19,8,0.337,Real,2022-04-19 08:00:00
2022-04-19,9,0.067,Real,2022-04-19 09:00:00
2022-04-19,10,0.121,Real,2022-04-19 10:00:00
2022-04-19,11,0.074,Real,2022-04-19 11:00:00
2022-04-19,12,0.082,Real,2022-04-19 12:00:00
2022-04-19,13,0.072,Real,2022-04-19 13:00:00
2022-04-19,14,0.073,Real,2022-04-19 14:00:00
2022-04-19,15,0.064,Real,2022-04-19 15:00:00
2022-04-19,16,0.082,Real,2022-04-19 16:00:00
2022-04-19,17,0.111,Real,2022-04-19 17:00:00
2022-04-19,18,0.106,Real,2022-04-19 18:00:00
2022-04-19,19,0.149,Real,2022-04-19 19:00:00
2022-04-19,20,0.089,Real,2022-04-19 20:00:00
2022-04-19,21,0.074,Real,2022-04-19 21:00:00
2022-04-19,22,0.152,Real,2022-04-19 22:00:00
2022-04-19,23,0.142,Real,2022-04-19 23:00:00
2022-04-19,24,0.122,Real,2022-04-20 00:00:00
2022-04-20,1,0.056,Real,2022-04-20 01:00:00
2022-04-20,2,0.042,Real,2022-04-20 02:00:00
2022-04-20,3,0.042,Real,2022-04-20 03:00:00
2022-04-20,4,0.042,Real,2022-04-20 04:00:00
2022-04-20,5,0.044,Real,2022-04-20 05:00:00
2022-04-20,6,0.041,Real,2022-04-20 06:00:00
2022-04-20,7,0.041,Real,2022-04-20 07:00:00
2022-04-20,8,0.06,Real,2022-04-20 08:00:00
2022-04-20,9,0.082,Real,2022-04-20 09:00:00
2022-04-20,10,0.099,Real,2022-04-20 10:00:00
2022-04-20,11,0.076,Real,2022-04-20 11:00:00
2022-04-20,12,0.074,Real,2022-04-20 12:00:00
2022-04-20,13,0.081,Real,2022-04-20 13:00:00
